ParticipantID: P001
Time;PosX;PosZ;Speed;Steer;Throttle;BrakeF;TTC;PredCrashX;PredCrashZ;CrashAngle
14.830;-73.728;-80.508;13.43;0.000;0.280;0.000;3.069;-43.948;-81.317;45.9
14.840;-73.594;-80.511;13.42;0.000;0.280;0.000;3.052;-44.010;-81.280;45.9
14.850;-73.460;-80.515;13.42;0.000;0.280;0.000;3.034;-44.074;-81.244;45.8
14.860;-73.325;-80.518;13.41;0.000;0.280;0.000;3.016;-44.137;-81.204;45.8
14.870;-73.191;-80.521;13.41;0.000;0.280;0.000;2.997;-44.206;-81.171;45.8
14.880;-73.057;-80.524;13.40;0.000;0.280;0.000;2.980;-44.265;-81.140;45.8
14.890;-72.923;-80.527;13.40;0.000;0.280;0.000;2.972;-44.290;-81.122;45.8
14.900;-72.790;-80.529;13.39;0.000;0.280;0.000;2.953;-44.359;-81.093;45.7
14.910;-72.656;-80.532;13.39;0.000;0.280;0.000;2.936;-44.419;-81.065;45.7
14.920;-72.522;-80.534;13.38;0.000;0.280;0.000;2.918;-44.475;-81.033;45.7
14.930;-72.388;-80.537;13.38;0.000;0.280;0.000;2.900;-44.534;-81.007;45.7
14.940;-72.254;-80.539;13.38;0.000;0.280;0.000;2.883;-44.593;-80.983;45.6
14.950;-72.121;-80.541;13.37;0.000;0.280;0.000;2.863;-44.664;-80.959;45.6
14.960;-71.987;-80.543;13.37;0.000;0.280;0.000;2.843;-44.725;-80.933;45.6
14.970;-71.853;-80.545;13.36;0.000;0.280;0.000;2.824;-44.789;-80.911;45.5
14.980;-71.720;-80.546;13.36;0.000;0.280;0.000;2.805;-44.850;-80.891;45.5
14.990;-71.586;-80.548;13.35;0.000;0.280;0.000;2.793;-44.885;-80.875;45.5
15.000;-71.453;-80.550;13.34;0.000;0.280;0.000;2.773;-44.950;-80.853;45.5
15.010;-71.319;-80.551;13.34;0.000;0.280;0.000;2.754;-45.010;-80.835;45.5
15.020;-71.186;-80.552;13.33;0.000;0.280;0.000;2.734;-45.075;-80.818;45.4
15.030;-71.053;-80.554;13.33;0.000;0.280;0.000;2.725;-45.104;-80.808;45.4
15.040;-70.919;-80.555;13.33;0.000;0.280;0.000;2.705;-45.168;-80.792;45.4
15.050;-70.786;-80.556;13.33;0.000;0.280;0.000;2.685;-45.231;-80.777;45.3
15.060;-70.653;-80.557;13.32;0.000;0.280;0.000;2.666;-45.289;-80.762;45.3
15.070;-70.520;-80.558;13.31;0.000;0.280;0.000;2.644;-45.360;-80.745;45.3
15.080;-70.387;-80.559;13.31;0.000;0.280;0.000;2.623;-45.422;-80.729;45.3
15.090;-70.254;-80.560;13.30;0.000;0.250;0.000;2.603;-45.486;-80.717;45.2
15.100;-70.121;-80.561;13.30;0.000;0.250;0.000;2.593;-45.514;-80.710;45.2
15.110;-69.988;-80.562;13.29;0.000;0.250;0.000;2.572;-45.580;-80.698;45.2
15.120;-69.855;-80.562;13.28;0.000;0.250;0.000;2.553;-45.634;-80.684;45.2
15.130;-69.722;-80.563;13.28;0.000;0.250;0.000;2.533;-45.698;-80.674;45.1
15.140;-69.589;-80.563;13.27;0.000;0.250;0.000;2.513;-45.759;-80.664;45.1
15.150;-69.457;-80.564;13.27;0.000;0.250;0.000;2.493;-45.815;-80.652;45.1
15.160;-69.324;-80.564;13.26;0.000;0.250;0.000;2.473;-45.879;-80.643;45.0
15.170;-69.191;-80.565;13.26;0.000;0.250;0.000;2.451;-45.948;-80.634;45.0
15.180;-69.059;-80.565;13.25;0.000;0.250;0.000;2.442;-45.972;-80.629;45.0
15.190;-68.927;-80.565;13.24;0.000;0.250;0.000;2.421;-46.039;-80.621;44.9
15.200;-68.794;-80.566;13.23;0.000;0.200;0.000;2.401;-46.093;-80.611;45.0
15.210;-68.662;-80.566;13.23;0.000;0.200;0.000;2.381;-46.155;-80.604;44.9
15.220;-68.530;-80.566;13.22;0.000;0.200;0.000;2.363;-46.211;-80.597;44.9
15.230;-68.397;-80.566;13.21;0.000;0.200;0.000;2.341;-46.281;-80.590;44.8
15.240;-68.265;-80.566;13.20;0.000;0.200;0.000;2.341;-46.281;-80.590;44.8
15.250;-68.133;-80.567;13.20;0.000;0.200;0.000;2.313;-46.363;-80.580;44.8
15.260;-68.002;-80.567;13.18;0.000;0.200;0.000;2.285;-46.447;-80.571;44.7
15.270;-67.870;-80.567;13.18;0.000;0.200;0.000;2.262;-46.516;-80.565;44.7
15.280;-67.738;-80.567;13.17;0.000;0.200;0.000;2.252;-46.542;-80.561;44.7
15.290;-67.606;-80.566;13.16;0.000;0.200;0.000;2.229;-46.610;-80.555;44.7
15.300;-67.475;-80.566;13.15;0.000;0.000;0.000;2.208;-46.678;-80.550;44.6
15.310;-67.344;-80.566;13.13;0.000;0.000;0.000;2.188;-46.738;-80.545;44.6
15.320;-67.212;-80.566;13.11;0.000;0.000;0.000;2.169;-46.799;-80.540;44.5
15.330;-67.081;-80.566;13.09;0.000;0.000;0.000;2.159;-46.830;-80.538;44.5
15.340;-66.950;-80.566;13.07;0.000;0.000;0.000;2.138;-46.900;-80.534;44.5
15.350;-66.820;-80.565;13.05;0.000;0.000;0.000;2.119;-46.961;-80.530;44.4
